Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing,Occurrence
Social Situations,,,A new camera,"You buy a new camera, but when you get home, you find that you do not like it. You return it to the store and get your money back. At the counter, the assistant is not very talkative as they help you, and you think they view you as crazy.",N/A,Do you think the sales assistant felt you were annoying?,Yes,No,https://drive.google.com/file/d/1gIc6npFIezWPuRAQClkBHg3K5HpAwDTk/view?usp=sharing,1,2
Social Situations,,,A new state,"For your vacation this year you are visiting a new state for the first time. When you are there, everything around you feels different and strange. You think this is awesome.",N/A,"In this state, you think you will find...",Opportunities to learn and experience the local traditions.,Yourself in troublesome situations.,https://drive.google.com/file/d/1RVjCxZh50qy4aIic-aY3PWjSmy2oAgVm/view?usp=sharing,1,1
Social Situations,,,An organized outing,"You organize a day outside with your friends. The outing does not go very well, and you feel discouraged. As you head home, you think that others thought the event did not go well because of the rain.",N/A,Your friends did not enjoy the outing because ...,The weather was unpleasant.,You planned it poorly.,https://drive.google.com/file/d/1DUJ30Sl4i34yGG5leZIL91AAOYQypycm/view?usp=sharing,1,1
Social Situations,,,Going out in day clothes,"One evening, your coworkers decide to go out to eat and ask you to join them. You accept, but will have to wear your work clothes. When you arrive, the other diners turn to look at you. You think this is because they think you look stylish.",N/A,Do you think that other diners think you are dressed inappropriately?,No,Yes,https://drive.google.com/file/d/1Dy28jSdmZo4fX1XDHXxVQVxNVpf54tdw/view?usp=sharing,1,1
Social Situations,,,Collecting an old friend,"You arrange to meet up with a friend you have not seen for many years. You drive to the train station to pick them up. When you arrive, you know they will find spending time with you fun.",N/A,Do you think your friend will have a good time with you?,Yes,No,https://drive.google.com/file/d/1IiQh9VjcPADWHw-EUkf-WjJmJgtCUIl6/view?usp=sharing,1,1
Social Situations,,,A child's request,"You are looking after a friend's child. The child asks to go to a park in a different neighborhood. In your opinion, an ordinary outing like this is safe.",N/A,Is going to a park in a different neighborhood dangerous?,No,Yes,https://drive.google.com/file/d/1tX2agdycBIu3O0qdoVYjKYA_m3wzz7yi/view?usp=sharing,1,1
Social Situations,,,Differing opinion,"You meet someone new at a local organization and have a stimulating discussion. Towards the end you find that they disagree with something that you said. When the organization meets next, you expect that you will be included.",N/A,"Upon meeting again, you think that ...",Other members will be excited to hear your valuable contributions.,Other members will exclude you because of your opinions.,https://drive.google.com/file/d/13jEwppiT8qS5mOqlYMd5R6Jvm04tUxpq/view?usp=sharing,1,1
Social Situations,,,Resolving a disagreement,"You have a minor disagreement with a coworker about the best way to complete a task, and you decide to ask your boss about it. When you talk to your boss, you momentarily forget what you were about to say. Your boss thinks you sound calm.",N/A,Your boss probably thinks ...,You are thoughtful and collected.,You are stupid and incompetent.,https://drive.google.com/file/d/1jaYm3TgI2IBWA2BUVVUogJ_o8-QMQZN1/view?usp=sharing,1,1
Social Situations,,,Unusual views,"During a discussion, you end up debating an issue with colleagues. You later discover that they found your views unusual. When the issue comes up again in a group conversation, you expect that you will be excluded.","In the end, even though your colleagues didn't share your view, they found your opinion interesting. The next time the issue comes up, they ask you for your thoughts, and you feel included.",Your colleagues probably think your views are ...,Interesting.,Offensive.,https://drive.google.com/file/d/1MIRt_i8n5z7nk9CNWYXVsQ6oMzfE70xz/view?usp=sharing,1,1
Social Situations,Work/Career Development,,Mistake on a task,"You are new to a job, and your boss asks you to do a task. You finish it before the deadline and your boss immediately points out that you made a mistake. Your boss probably thinks you are a failure.","In the end, you realize that your boss is prompt in giving you feedback because they are investing in you, and interested in seeing you progress.",Does your boss believe that your work holds promise?,Yes,No,https://drive.google.com/file/d/1tC0cMmiULCKntvdx723RkckKVjWOaipd/view?usp=sharing,1,1
Social Situations,,,Meeting an old acquaintance,"An old acquaintance just moved to town and asks you out to coffee. You are nervous about seeing them again after many years and could easily tell them that you are too busy. You are at home when they call about meeting, and you decline the call. ",N/A,Do you take your acquaintance’s call to meet for coffee?,No ,Yes,https://drive.google.com/file/d/1pyQstjJZOoKDUECn8lpjVkVEJglsI_E8/view?usp=sharing,1,1
Social Situations,,,Overhearing your name ,"As you walk through the office, you hear some of our coworkers talking about other people. As you walk closer to them, you overhear your name. When they see you, they smile and greet you, and you think that they were probably saying something pleasant.",N/A,Your coworkers were probably ...,Giving you a compliment.,Talking poorly about you.,https://drive.google.com/file/d/1h_Ml-gofAzajKf38xvJglnz-ungcO067/view?usp=sharing,1,1
Social Situations,,,Bumping into someone,"On your way out from work, you stop in the restroom. As you leave the bathroom stall, your coworker passes you and gives you a funny look. Your coworker is probably distracted.",N/A,Is your coworker negatively judging you as you leave the restroom?,No,Yes,https://drive.google.com/file/d/12a320KFU49Q22OyTOvACDVixcRer1v4H/view?usp=sharing,1,1
Social Situations,,,A personal question,"You are sitting on the couch and watching television with a friend. Your friend asks you a personal question. You answer honestly, and you think your friend probably judges you to be open.",N/A,Does your friend have a more negative opinion of you after you share personal information?,No,Yes,https://drive.google.com/file/d/1-z3J-aAsUl9AyUVITEDWCFy0J_WDtUQG/view?usp=sharing,1,1
Social Situations,,,Silence on a drive,"You are on a long drive with a friend. You notice that neither of you has said anything for a few minutes. Focused on the road, you think your friend feels that the silence is completely normal.",N/A,Does your friend think you are awkward when there is silence during the drive?,No,Yes,https://drive.google.com/file/d/1sGtKCHYC5PGhGGovL--qGa1f1C0k0nOV/view?usp=sharing,1,1
Social Situations,Work/Career Development,,A big presentation,You are about to give an important presentation. You are anxious about it. This feeling makes you exhilarated.,N/A,Are you excited about the presentation?,Yes,No,https://drive.google.com/file/d/1Isymza3G0kL57wzhqwxZgxIn5utKL9wO/view?usp=sharing,1,1
Social Situations,,,Suggestion to meet again,"You meet someone at an event and feel that you got along well. Later, you call and suggest meeting again. The reply you get makes you feel that the person thinks meeting again would be enjoyable.",N/A," 
 		

The person you met at the event will probably...
",Say yes if you suggest meeting again,Say no if you suggest meeting again.,https://drive.google.com/file/d/1zcSYCq7ymkaCpr9sIJm7rsA3luVq-XEs/view?usp=sharing,1,1
Social Situations,,,Dinner party invitation,"A friend invites you to a dinner party that they are holding. They tell you who the other guests are, but you do not recognize any of the other names. You go anyway, and on the way there, you think that the other guests will find you friendly.",N/A,Will you be well liked at the party?,Yes,No,https://drive.google.com/file/d/1s0lSdcl9afdDlvTXYzKPm_70WTjqmo3Z/view?usp=sharing,1,1
Social Situations,,,Helping an elder neighbor,"One day after work, you notice an elder neighbor slowly walking from their car to their house. They look off balance and you are worried that they are going to fall. You ask whether they need help, and they turn and stare at you, looking offended.","When you get home, you realize that your neighbor was probably having a bad day and that it was appropriate to offer help. Your neighbor probably thinks you are kind.",Does your neighbor appreciate your offer to help with the groceries?,Yes,No,https://drive.google.com/file/d/1B36NDbsAD14_1cBxKfNBFE2bacoiiIA-/view?usp=sharing,1,1
Social Situations,,,Trivia tournament,"You are persuaded to join a trivia team in a tournament. You are told that most of the questions will be asked of individuals, in different rounds. When it's your turn, you get all the answers wrong, and the others look very disappointed.","In the end, you realize that your round was a particularly hard one. Looking around the table, you see that the others found the effort you put in to be very admirable.",The people on your team most likely ...,Are impressed by your determination.,Think you are bad at trivia.,https://drive.google.com/file/d/1X1NC0Q3vk8WE9LvZLKMAXJvPk3vlLVrb/view?usp=sharing,1,1
Social Situations,,,Write Your Own,,,,,,,1,8
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
Early/Mid-Stage Symptoms,,,Getting Coffee,"You are waiting for your drink at a cafe. When you think about walking over to pick up your drink, you fear others will notice your unsteady walking. As you're walking over, your legs are noticeably unstable with each step, and you feel embarrassment.",,Do you feel embarassed?,Yes,No,https://drive.google.com/file/d/1bF-pxszMIQK8gjdM8NMJ04ZwLsPjgpVp/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,House for Sale,"You have been at your current home for a while, and you have just decided to sell your house. At first, you feel excited, but when you think about the packing up and moving, you're not sure you'll be able to. With your condition, moving seems daunting.","You realize that despite your diagnosis, you're confident in your ability to coordinate movers and complete the move successfully. So after thinking about it, you feel more upbeat.",Do you trust that you'll be able to pull off the move?,Yes,No,https://drive.google.com/file/d/1UkyrjoKdr7DXgFRTxafxCBp9eJ-FX1tx/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Worsening condition,"Your neighbor has Parkinson's disease, and as they've gotten older it has been difficult to watch their condition worsen. As you age, you wonder if your symptoms will reach the severity level of theirs. You begin to feel nervous about your future.","You spend some time with your family and friends and realize if your symptoms become that severe, you will still be surrounded by loved ones who care.",Will there be people who care about you that help you in the future?,Yes,No,https://drive.google.com/file/d/1o-wU1rmdWfwwjlc9LnB9h0uK-Y5eZTtB/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Weekly Game Night,"You usually lead the scoreboard during your family's weekly game night. You notice that you've been scoring less points over time. You figure your children must be getting better, and that makes you feel great.",,Thinking about your family succeeding in game night makes you feel... ,Awesome.,Terribly.,https://drive.google.com/file/d/1RoTVCEmjoq1o3Y5t9h9PV5CPaqoSww3j/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Memory Training,"You've been struggling with your memory lately, so you've started learning a new technique for remembering lists of items. Training your brain to memorize lists has been a challenge. You remember more items as you practice the technique more, and this is very rewarding. ",,Learning a new memory technique has been... ,A useful challenge.,A useless task.,https://drive.google.com/file/d/1A_vWMmc9zZdPwy2k07AJ8qblyg3VOJ23/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,House Play,You are babysitting your grandchild in your home. You are having difficulty keeping up with your grandchild running around and wonder if your son will be worried about his child's safety. You believe that your son will feel okay.,,You know that your son will be...,At ease.,Upset.,https://drive.google.com/file/d/1NKwfBuOCNhFnG41gl7LfxoeLjMe9XP3X/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Babysitting Questions,"You are babysitting your grandchild and playing toys with them. You start having difficulty getting words out when they bombard you with questions. You remember that even if you can't answer all their questions, your presence already makes them h(a)ppy.",,Your grandchild is...,Happy to be with you.,Feeling impatient.,https://drive.google.com/file/d/1DkZbgB9foho_sOQI8acjgiQ2HLajvhay/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Forgotten Ingredients,"You are making a new recipe for dinner that your friend just shared with you over the phone a few minutes ago. You've already forgotten a few of the ingredients and are feeling frustrated that your memory isn't what it used to be. You realize you can call your friend back, and they would share the recipe again happily.",,Your friend would share the recipe again...,Happily.,Reluctantly.,https://drive.google.com/file/d/1e3VnfT7hiF1NfooPuszY-srZeyuPS6od/view,1,1
Early/Mid-Stage Symptoms,,,Dedicated Teacher,"You are dedicated to your job as a teacher. Since your PD diagnosis, you have been worried about doing a good job in the classroom. You reassure yourself that even if your symptoms slow you down, your years of experience will help.",,You should be able to…,Teach well,Teach poorly,https://drive.google.com/file/d/1vD-eWmOMML94SMc8KCjIoTjmf-PJZYi1/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Lost Things,"Throughout the past week, you've continuously lost track of things, like your keys and your wallet. You've had some recent stressors in your life, and losing track of your things makes you even more anxious. You remember that stress can make your memory worse, and as things calm down, your memory will probably get better.",,Will it be easier to remember things when you have less to worry about?,Yes,No,https://drive.google.com/file/d/1titr5QvDI3D3IDIs0BNpqhDzOXENsShB/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,The Movies Solo,"You are at a crowded movie theater alone and enjoying your movie despite experiencing some dyskinesia. You notice people staring at you while you watch the movie. This makes you feel self-conscious, and not being able to explain yourself makes you feel frustrated.",,This experience feels...,Embarrassing,Normal,https://drive.google.com/file/d/1mkqdAWLmcZjq0UPzNbx6FWCtEEmWgqmW/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Research Study,"For the first time, you're taking part in a research study about PD. When someone tells you that you've been picked as a participant, you don't know what to expect. As you think about it more, you begin to feel uneasy.","The research team tells you that your participation is completely voluntary and you can opt out at anytime. After that, you start to feel more relaxed.",You felt better because you know... ,You can stop any time,You must continue on,https://drive.google.com/file/d/1QQRrELa2PBe_PdGRWdjOgUaFBBqiindV/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Taking Time Off,"At work you've noticed more difficulty typing. You decide to email your boss to ask to take time off to focus on your health. You see a reply pop up in your email after a while, and you feel scared. ",Your boss is very kind in their reply and would like to meet with you. You can think clearly now and you are feeling more calm.,You did not want to ask for time off because... ,You were fearful,You did not need time off,https://drive.google.com/file/d/1BZPT1R2VW41maP6zRWQP2__Cje0nI-SG/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Gathering at the park,"You're attending a family gathering at a park and are worried when you notice that your hands are tremoring more than usual. Your anxiety makes your hands shake even more, which in turn makes you more and more anxious. You sit down and take several deep, calming breaths, and your tremor starts to subside; your increased tremor and anxiety were just temporary. ",,Were your shaking hands an indication that your disease is worsening?,No,Yes,https://drive.google.com/file/d/1_yterP9gpuSamkIIwioDJ9hjhDs6k7Oj/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Morning errands,"You are running errands and have spent much of the morning on your feet when suddenly, your heart starts racing and you feel lightheaded. You rush to your car, worried that you might be having a panic attack. After sitting down, you remember that these feelings could also be caused by low blood pressure related to your Parkinson’s; you turn on the air conditioning and drink some water, and soon your body starts to relax.",,Is your racing heart a sign of a panic attack?,No,Yes,https://drive.google.com/file/d/1eeU2n1XPk3gnhF3JO-cJ1XLEklt_wOCX/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Chores and Errands,"You were up early this morning, and decided to do some chores and errands. By the late morning, you feel more tired than you expected, and need to take a break. You decide to take a nap, listening to what your body needs and feeling satisfied. ",,Are you upset with yourself for having to take a break?,No,Yes,https://drive.google.com/file/d/1X3JpZswnxTWe6NBZkPXY5GM0C5iCUmL4/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Hardware Store,"You are in the checkout line at the hardware store, and you notice your hands begin shaking. The cashier glances down towards your hands, and you wonder what they think of you. When the cashier looks up, they give you a smile.  ",,Do your shaking hands ruin your interaction?,No,Yes,https://drive.google.com/file/d/1dF43AC_FnILl2I-HOcBo4ITYL45CIZ5s/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,A Long Dinner,"You're at dinner with friends, which runs longer than expected as you all spend time catching up. You know that your medication will be wearing off soon, and you did not bring any with you. If you begin to show symptoms of your medication wearing off, your friends will be supportive. ",,"If your medication wears off, dinner will be...",enjoyable.,ruined.,https://drive.google.com/file/d/1A_eY4SYOONjUKzKZuzIo4s7ddRcMVIDf/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Being Independent,"You have always taken pride in being independent and providing care to your family. As your symptoms progress, you notice you are less able to do things on your own like cooking or cleaning, now seeking help from your family. Throughout these changes, your family is understanding.",,Does your family provide you the help you need?,Yes,No,https://drive.google.com/file/d/1ECZOvrgDXUoQkLNbYAIX2g6nbemKUflr/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Question at Work,"At a neighborhood meeting, you forget the answer to an important question. Your neighbors exchange glances that leave you unsure about how they perceive your capabilities due to your PD. However, one neighbor extends a helping hand offering to fill you in, and you think that your neighbors are supportive.",,Your neighbors make you feel...,supported.,self-conscious. ,https://drive.google.com/file/d/1k0JLus9UjcqQdfaYuih6-sWcsM-76aou/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Gardening,"You have a garden you're really proud of and enjoy getting to work on every year. As you think about getting older, you wonder how your ability to do this pastime will change. You think about how your Parkinson's symptoms could prevent you from caring for your plants, and they'll die.",,"In the future, your symptoms will cause your plants to...",Die,Thrive,https://drive.google.com/file/d/1QhTkCOP2n_bhBiwYnzR5MCuZL_dldmnj/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Dropped Plate,"You're at a dinner party with your dearest friends. You get a plate for food and on your way over to the dining table, you drop your plate on the floor. Two of your friends start running over to help you, but they look concerned.",They share that they've done something similar in the past and don't want you to feel bad about it. This offers you some comfort.,Do your friends feel frustrated with you for dropping your dinner plate?,No,Yes,https://drive.google.com/file/d/1mAMTE9lRFCZBn_f-ETkFVAwjz5XKhwye/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Music Venue ,"You're at a music venue, and you suddenly realize you need to use the restroom. You look around and see that you have to walk through a large crowd. You think about tripping over someone, and you freeze up.","Your partner looks over at you, so you tell them what's wrong. They offer to help you get through the crowd and you feel more confident.",Your partner's support makes you feel...,Assured,Anxious,https://drive.google.com/file/d/1Jld1tGCp30EgKIBq4df9YsBtzPItA-Od/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Planning a Family Vacation,"Your family is planning a big vacation in a few years' time. You wonder what life will look like for you by then, and whether the vacation will be possible. No matter what the future holds, you will still be able to enjoy time with your family- whether or not that includes traveling- and your family will be supportive.  ",,This vacation...,will not stand between you and your family.,will cause tension between you and your family.,https://drive.google.com/file/d/1r_8RBCt48Z_k8Jkl273i486kTpz6luP6/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Shopping in a Crowd,"You're out shopping, and you freeze as you try to navigate an unfamiliar store. There are other shoppers around, and you wonder what they will think of you if they glance your way. The probability that people will judge you is low.",,Are shoppers around you judging you?,No,Yes,https://drive.google.com/file/d/1W68GstUhtJesvdXlLjW6V8bzxbJsF_wf/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Catching up with a friend,"You are at the store when you see a friend, and stop to catch up with them. During this conversation, you're finding that your words come more slowly than usual. Despite these difficulties, talking to your friend is enjoyable. ",,Do you like catching up with your friend?,Yes,No,https://drive.google.com/file/d/1geYBTT3pfwCp3B4kmqkwowpI4bj4Sm6i/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Out for dinner,"You're having dinner at a nice restaurant with some friends you haven't seen in a while. In the middle of dinner, your tremor starts to worsen, and your friends all turn and look at you. Your friends think having dinner with you is nice.  ",,Do your friends think poorly of you because of your symptoms?,No,Yes,https://drive.google.com/file/d/1SM-ZFOVfoFfNyVJ7Fio5mdBOoaockxsJ/view?usp=sharing,1,1
Early/Mid-Stage Symptoms,,,Forgetting the Laundry,"You notice that you forgot to do the laundry and will have to do it tomorrow. Tasks like this slip your mind more often now, and you worry about how you will function in the future. You acknowledge that things are changing, but you are still capable.
",,Will you be able to do the laundry tomorrow?,Yes,No,https://drive.google.com/file/d/14oYAG1V7LgyjdgE6rnJSsaYABHcFjlXp/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Family Gathering,"You are at a family gathering and see people you haven’t spoken to in years. Your tremors have gotten more noticeable, and you worry how others will react. While you can’t control what others think, you know most people will be understanding, and the day will still be enjoyable.
",,Will the family gathering be enjoyable?,Yes,No,https://drive.google.com/file/d/14zfE_2i3qtGJ_Pa0T8ShIdbF5UO0Z3q9/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Meeting up with a Friend,"You are talking with a close friend and have gotten lost in the conversation a couple of times. You ask them to repeat something they said earlier, and you are concerned that they might become annoyed. As you both continue the conversation, you know your friend is aware of your diagnosis and is understanding.",,Your conversation will be...,Enjoyable,Disagreeable,https://drive.google.com/file/d/1pwnCaHfA9CYafapZZtNfTnXtByrvEY_a/view?usp=drive_link,1,1
Early/Mid-Stage Symptoms,,,Write Your Own,,,,,,,2,8
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,all,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,write your own,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,all,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,1,0
,,,,,,,,,,2,0
,,,,,,,,,,2,0
